"Resene RGB Values List"
"For further information refer to http://www.resene.co.nz"
"Copyright Resene Paints Ltd 2001"

"Permission to copy this software, to modify it, to redistribute it,"
"to distribute modified versions, and to use it for any purpose is"
"granted, subject to the following restrictions and understandings."

"1. Any text copy made of this dictionary must include this copyright"
"notice in full."

"2. Any redistribution in binary form must reproduce this copyright"
"notice in the documentation or other materials provided with the"
"distribution."

"3. Resene Paints Ltd makes no warranty or representation that this"
"dictionary is error-free, and is under no obligation to provide"
"any services, by way of maintenance, update, or otherwise."

"4. There shall be no use of the name of Resene or Resene Paints Ltd in"
"any advertising, promotional, or sales literature without prior"
"written consent in each case."

"5. These RGB colour formulations may not be used to the detriment of"
"Resene Paints Ltd."

"Colour Name"	"R"	"G"	"B"
"Pink Swan"	191	179	178
"Piper"	157	84	50
"Pipi"	245	230	196
"Pippin"	252	219	210
"Pirate Gold"	186	120	42
"Pistachio"	103	105	39
"Pixie Green"	187	205	165
"Pizazz"	229	127	61
"Pizza"	191	141	60
"Plantation"	62	89	76
"Planter"	98	93	42
"Plum"	56	26	56
"Pohutukawa"	101	28	38
"Polar"	229	242	231
"Polo Blue"	138	167	204
"Pompadour"	106	31	68
"Porcelain"	221	220	219
"Porsche"	223	157	91
"Port Gore"	59	67	108
"Portafino"	244	240	155
"Portage"	139	152	216
"Portica"	240	213	85
"Pot Pourri"	239	220	212
"Potters Clay"	132	92	64
"Powder Blue"	146	159	162
"Prairie Sand"	136	60	50
"Prelude"	202	180	212
"Prim"	226	205	213
"Primrose"	228	222	142
"Promenade"	248	246	223
"Provincial Pink"	246	227	218
"Prussian Blue"	25	47	65
"Pueblo"	110	51	38
"Puerto Rico"	89	186	163
"Pumice"	186	192	180
"Pumpkin"	171	107	53
"Punch"	168	50	57
"Punga"	83	73	49
"Putty"	205	174	112
"Quarter Pearl Lusta"	242	237	221
"Quarter Spanish White"	235	226	210
"Quicksand"	195	152	139
"Quill Grey"	203	201	192
"Quincy"	106	84	69
"Racing Green"	35	47	44
"Raffia"	220	198	160
"Rain Forest"	102	112	40
"Raincloud"	163	152	129
"Rainee"	179	193	177
"Rajah"	252	174	96
"Rangitoto"	58	65	51
"Rangoon Green"	43	46	37
"Raven"	111	116	123
"Rebel"	69	52	48
"Red Beech"	161	98	59
"Red Berry"	112	31	40
"Red Damask"	203	111	74
"Red Devil"	102	42	44
"Red Oxide"	93	31	30
"Red Robin"	125	65	56
"Red Stage"	173	82	46
"Redwood"	91	52	46
"Reef"	209	239	159
"Reef Gold"	169	141	54
"Regal Blue"	32	63	88
"Regent Grey"	121	132	136
"Regent St Blue"	160	205	217
"Remy"	246	222	218
"Reno Sand"	178	110	51
"Resolution Blue"	50	63	117
"Revolver"	55	54	63
"Rhino"	61	70	83
"Ribbon"	113	51	60
"Rice Cake"	239	236	222
"Rice Flower"	239	245	209
"Rich Gold"	161	82	38
"Rio Grande"	183	198	26
"Riptide"	137	217	200
"River Bed"	85	96	97
"Rob Roy"	221	173	86
"Robins Egg Blue"	158	170	158
"Rock"	90	77	65
"Rock Blue"	147	162	186
"Rock Salt"	230	214	184
"Rock Spray"	157	68	45
"Rodeo Dust"	199	163	132
"Rolling Stone"	109	120	118
"Roman"	216	98	91
"Roman Coffee"	125	103	87
"Romance"	244	240	230
"Romantic"	255	198	158
"Ronchi"	234	184	82
"Roof Terracotta"	161	71	67
"Rope"	142	89	60
"Rose"	211	161	148
"Rose Bud"	254	171	154
"Rose Bud Cherry"	138	45	82
"Rose Of Sharon"	172	81	45
"Rose White"	251	238	232
"Rosewood"	143	62	63
"Roti"	182	150	66
"Rouge"	169	64	100
"Royal Heath"	181	75	115
"Rum"	113	102	117
"Rum Swizzle"	241	237	212
"Russett"	125	101	92
"Rustic Red"	58	24	26
"Rusty Nail"	141	95	44
"Saddle"	93	78	70
"Saddle Brown"	80	56	30
"Saffron"	220	159	69
"Sage"	152	159	122
"Sahara"	183	152	38
"Sail"	165	206	236
"Salem"	23	123	77
"Salomie"	255	214	123
"Salt Box"	105	98	104
"Saltpan"	238	243	229
"Sambuca"	59	46	37
"San Felix"	44	110	49
"San Juan"	68	87	97
"San Marino"	78	108	157
"Sand Dune"	134	118	101
"Sandal"	163	135	106
"Sandrift"	175	147	125
"Sandstone"	120	109	95
"Sandwisp"	222	203	129
"Sandy Beach"	254	219	183
"Sangria"	130	42	50
"Sanguine Brown"	108	55	54
"Santas Grey"	153	152	167
"Sante Fe"	169	106	80
"Sapling"	225	213	166
"Sapphire"	63	82	129
"Saratoga"	85	91	44
"Sauvignon"	244	234	228
"Sazerac"	245	222	196
"Scampi"	111	99	160
"Scandal"	173	217	209
"Scarlet Gum"	74	45	87
"Scarlett"	126	37	48
"Scarpa Flow"	107	106	108
"Schist"	135	135	111
"Schooner"	141	132	120
"Scooter"	48	142	160
"Scorpion"	106	100	102
"Scotch Mist"	238	231	200
"Scrub"	61	64	49
"Sea Buckthorn"	239	149	72
"Sea Fog"	223	221	214
"Sea Green"	31	99	97
"Sea Mist"	194	213	196
"Sea Nymph"	138	174	164
"Sea Pink"	219	129	126
"Seagull"	119	183	208
"Seance"	105	50	110
"Seashell"	227	225	224
"Seaweed"	55	65	42
"Selago"	230	223	231
"Sepia"	58	47	45
"Serenade"	252	233	215
"Shadow Green"	154	192	182
"Shady Lady"	159	155	157
"Shakespeare"	96	154	184
"Shalimar"	248	246	168
"Shark"	52	54	58
"Sherpa Blue"	0	73	78
"Sherwood Green"	27	70	54
"Shilo"	230	178	166
"Shingle Fawn"	116	89	55
"Ship Cove"	121	136	171
"Ship Grey"	78	78	76
"Shiraz"	132	40	51
"Shocking"	232	153	190
"Shuttle Grey"	97	102	107
"Siam"	104	107	80
"Sidecar"	233	217	169
"Silk"	187	173	161
"Silver Chalice"	172	174	169
"Silver Sand"	190	189	182
"Silver Tree"	103	190	144
"Sinbad"	166	213	208
"Siren"	105	41	59
"Sirocco"	104	118	110
"Sisal"	197	186	160
"Skeptic"	157	180	170
"Slugger"	66	52	43
"Smalt Blue"	73	98	103
"Smoke Tree"	187	95	52
"Smokey Ash"	93	89	82
"Smoky"	96	93	107
"Snow Drift"	227	227	220
"Snow Flurry"	234	247	201
"Snowy Mint"	214	240	205
"Snuff"	228	215	229
"Soapstone"	236	229	218
"Soft Amber"	207	190	165
"Soft Peach"	238	223	222
"Solid Pink"	133	73	76
"Solitaire"	234	218	194
"Solitude"	233	236	241
"Sorbus"	221	107	56
"Sorrell Brown"	157	127	97
"Sour Dough"	201	181	154
"Soya Bean"	111	99	75
"Space Shuttle"	75	67	59
"Spanish Green"	123	137	118
"Spanish White"	222	209	183
"Spectra"	55	93	79
"Spice"	108	79	63
"Spicy Mix"	139	95	77
"Spicy Pink"	137	117	120
"Spindle"	179	196	216
"Splash"	241	215	158
"Spray"	126	205	221
"Spring Green"	92	138	100
"Spring Rain"	163	189	156
"Spring Sun"	241	241	198
"Spring Wood"	233	225	217
"Sprout"	184	202	157
"Spun Pearl"	162	161	172
"Squirrel"	143	125	107
"St Tropaz"	50	84	130
"Stack"	133	136	133
"Star Dust"	160	161	151
"Stark White"	210	198	182
"Starship"	227	221	57
"Steel Grey"	67	70	75
"Stiletto"	131	61	62
"Stinger"	141	112	42
"Stonewall"	128	118	97
"Storm Dust"	101	100	95
"Storm Grey"	116	120	128
"Stratos"	33	38	58
"Straw"	218	190	130
"Strikemaster"	148	106	129
"Stromboli"	64	99	86
"Studio"	114	74	161
"Submarine"	140	156	156
"Sugar Cane"	238	239	223
"Sulu"	198	234	128
"Summer Green"	143	182	156
"Sun"	239	142	56
"Sundance"	196	170	77
"Sundown"	248	175	169
"Sunflower"	218	192	26
"Sunglo"	199	97	85
"Sunset"	192	81	74
"Sunshade"	250	157	73
"Supernova"	255	180	55
"Surf"	184	212	187
"Surf Crest"	195	214	189
"Surfie Green"	0	123	119
"Sushi"	124	159	47
"Suva Grey"	139	134	133
"Swamp"	37	47	47
"Swans Down"	218	230	221
"Sweet Corn"	249	225	118
"Sweet Pink"	238	145	141
"Swirl"	215	206	197
"Swiss Coffee"	219	208	202
"Sycamore"	146	140	60
"Tabasco"	142	58	54
"Tacao"	246	174	120
"Tacha"	210	185	96
"Tahiti Gold"	220	114	42
"Tahuna Sands"	216	204	155
"Tall Poppy"	133	53	52
"Tallow"	163	153	119
"Tamarillo"	117	43	47
"Tamarind"	62	47	46
"Tana"	184	181	161
"Tangaroa"	30	47	60
"Tangerine"	205	93	52
"Tango"	212	111	49
"Tapa"	124	124	114
"Tapestry"	179	112	132
"Tara"	222	241	221
"Tarawera"	37	60	72
"Tasman"	186	192	179
"Taupe Grey"	137	132	120
"Tawny Port"	100	58	72
"Tax Break"	73	101	105
"Te Papa Green"	43	75	64
"Tea"	191	181	162
"Teak"	171	137	83
"Teal Blue"	37	72	85
"Temptress"	60	33	38
"Tequila"	244	208	164
"Texas"	236	230	126
"Texas Rose"	252	176	87
"Thatch"	177	148	143
"Thatch Green"	84	78	49
"Thistle"	199	189	149
"Thunder"	77	77	75
"Thunderbird"	146	56	48
"Tia Maria"	151	66	45
"Tiara"	185	195	190
"Tiber"	24	67	67
"Tidal"	240	245	144
"Tide"	190	180	171
"Timber Green"	50	67	54
"Titan White"	221	214	225
"Toast"	159	113	95
"Tobacco Brown"	109	88	67
"Tobago"	68	54	45
"Toledo"	62	38	49
"Tolopea"	45	37	65
"Tom Thumb"	79	99	72
"Tonys Pink"	231	158	136
"Topaz"	129	124	135
"Torea Bay"	53	61	117
"Tory Blue"	55	78	136
"Tosca"	116	64	66
"Totem Pole"	136	53	49
"Touch Wood"	58	55	46
"Tower Grey"	156	172	165
"Tradewind"	109	175	167
"Tranquil"	221	237	233
"Travertine"	226	221	199
"Tree Poppy"	226	129	59
"Treehouse"	60	52	46
"Trendy Green"	126	132	36
"Trendy Pink"	128	93	128
"Trinidad"	197	79	51
"Tropical Blue"	174	201	235
"Trout"	76	83	86
"True V"	142	114	199
"Tuatara"	69	70	66
"Tuft Bush"	249	211	190
"Tulip Tree"	227	172	61
"Tumbleweed"	75	65	42
"Tuna"	70	73	78
"Tundora"	88	84	82
"Turbo"	245	204	35
"Turkish Rose"	165	110	117
"Turmeric"	174	144	65
"Turtle Green"	54	62	29
"Tuscany"	173	98	66
"Tusk"	227	229	177
"Tussock"	191	145	75
"Tutu"	248	228	227
"Twilight"	218	192	205
"Twilight Blue"	244	246	236
"Twine"	193	145	86
"Valencia"	212	87	78
"Valentino"	56	44	56
"Valhalla"	42	43	65
"Van Cleef"	82	57	54
"Vanilla"	204	182	155
"Vanilla Ice"	235	210	209
"Varden"	253	239	211
"Venetian Red"	91	31	34
"Venice Blue"	44	87	120
"Venus"	139	125	130
"Verdigris"	98	96	62
"Verdun Green"	72	83	26
"Vesuvius"	168	85	51
"Victoria"	86	73	133
"Vida Loca"	95	146	40
"Viking"	77	177	200
"Vin Rouge"	149	82	100
"Viola"	197	143	157
"Violent Violet"	46	34	73
"Violet"	47	38	60
"Viridian Green"	75	95	86
"Vis Vis"	249	228	150
"Vista Blue"	151	213	179
"Vista White"	227	223	217
"Volcano"	78	39	40
"Voodoo"	68	50	64
"Vulcan"	54	56	60
"Wafer"	212	187	177
"Waikawa Grey"	91	110	145
"Waiouru"	76	78	49
"Walnut"	121	77	46
"Wan White"	228	226	220
"Wasabi"	132	145	55
"Water Leaf"	182	236	222
"Watercourse"	0	110	78
"Waterloo"	114	114	130
"Wattle"	214	202	61
"Watusi"	242	205	187
"Wax Flower"	238	179	158
"We Peep"	253	215	216
"Wedgewood"	76	107	136
"Well Read"	142	53	55
"West Coast"	92	81	47
"West Side"	229	130	58
"Westar"	212	207	197
"Western Red"	107	37	44
"Wewak"	241	145	154
"Wheatfield"	223	215	189
"Whiskey"	210	144	98
"Whiskey Sour"	212	145	93
"Whisper"	239	230	230
"White Ice"	215	238	228
"White Lilac"	231	229	232
"White Linen"	238	231	220
"White Nectar"	248	246	216
"White Pointer"	218	214	204
"White Rock"	212	207	180
"Wild Rice"	227	212	116
"Wild Sand"	231	228	222
"Wild Willow"	190	202	96
"William"	83	115	111
"Willow Brook"	223	230	207
"Willow Grove"	105	117	92
"Windsor"	70	44	119
"Wine Berry"	82	44	53
"Winter Hazel"	208	195	131
"Wisp Pink"	249	232	226
"Wisteria"	164	135	139
"Wistful"	162	158	205
"Witch Haze"	251	240	115
"Wood Bark"	48	38	33
"Woodburn"	70	54	41
"Woodland"	98	103	70
"Woodrush"	69	64	43
"Woodsmoke"	43	50	48
"Woody Bay"	51	52	58
"Woody Brown"	85	69	69
"Xanadu"	117	135	110
"Yellow Metal"	115	99	62
"Yellow Sea"	244	159	53
"Your Pink"	255	197	187
"Yukon Gold"	130	106	33
"Yuma"	199	184	130
"Zambezi"	107	90	90
"Zanah"	178	198	177
"Zest"	198	114	59
"Zeus"	59	60	56
"Ziggurat"	129	166	170
"Zircon"	222	227	227
"Zombie"	221	194	131
"Zorba"	162	149	137
"Zuccini"	23	70	46
"Zumthor"	205	213	213
"Zydeco"	32	72	63
